Country,2014,2015,2016,2017
Afghanistan,17.08556095,17.04123159,17.00218203,16.96302255
Albania,11.06509446,11.05898907,11.04555426,11.04317255
Algeria,14.9801801,14.98680857,14.99488952,15.01159706
American Samoa,11.00785834,11.00728657,11.00272418,11.00426893
Andean Latin America,12.78983672,12.78966008,12.78828692,12.78711135
Andorra,15.8464789,15.85092539,15.85544215,15.86184049
Angola,12.32879173,12.32724532,12.32259927,12.32294585
Antigua and Barbuda,13.36813484,13.37563503,13.38190308,13.39239094
Argentina,17.564053,17.57338608,17.58353313,17.59874775
Armenia,10.54719553,10.55346793,10.56437823,10.57489953
Australasia,19.47148217,19.43641821,19.39522744,19.35432947
Australia,19.35294106,19.31162687,19.26418635,19.21619405
Austria,15.58955485,15.58978164,15.59102598,15.60071603
Azerbaijan,10.36804019,10.37767506,10.39650695,10.41648516
Bahamas,13.4784566,13.48150673,13.48729409,13.49120068
Bahrain,14.85043772,14.83388721,14.82222768,14.81627383
Bangladesh,13.46797023,13.40845331,13.34879581,13.28903163
Barbados,13.59026728,13.59618453,13.59634213,13.6026348
Belarus,12.09826934,12.09181166,12.08728599,12.08195744
Belgium,15.63078606,15.63984601,15.64390109,15.65338106
Belize,13.46159557,13.46590766,13.46868986,13.47286976
Benin,11.68821929,11.69175908,11.69037073,11.6930282
Bermuda,13.91567014,13.91082573,13.90782755,13.90287959
Bhutan,12.20880225,12.21636758,12.22939543,12.24140941
Bolivia,13.34693612,13.33936752,13.32452034,13.31196751
Bosnia and Herzegovina,11.10944104,11.10324625,11.09343139,11.09141289
Botswana,12.13781927,12.13288612,12.12818832,12.12793237
Brazil,16.07338495,15.98062829,15.88690681,15.79262155
Brunei,11.70500608,11.71350337,11.7303162,11.74390488
Bulgaria,11.37909341,11.37751052,11.37265632,11.37402183
Burkina Faso,11.63588453,11.65336127,11.6735383,11.69866487
Burundi,13.30031967,13.29614687,13.30293926,13.31775657
Cambodia,12.01212422,11.95728409,11.9083853,11.86483359
Cameroon,11.76661899,11.75759742,11.75870492,11.75166617
Canada,15.58759443,15.60581554,15.63876401,15.67775188
Cape Verde,11.91864496,11.92664828,11.93298973,11.94527944
Caribbean,13.86154011,13.8531944,13.84329507,13.83525884
Central African Republic,12.53674819,12.53188381,12.52847966,12.52543399
Central Asia,10.74605766,10.74211365,10.74163945,10.74032131
Central Europe,11.08405871,11.07937311,11.07898906,11.07793467
"Central Europe, Eastern Europe, and Central Asia",11.35456446,11.35116846,11.35163322,11.35330022
Central Latin America,10.85273094,10.85673833,10.8631089,10.87214112
Central Sub-Saharan Africa,12.37874564,12.36348428,12.35161213,12.3348495
Chad,12.15723494,12.14684423,12.13670868,12.13279508
Chile,17.96308737,17.97997361,18.00337628,18.03206451
China,11.48426535,11.44172054,11.39733557,11.3493127
Colombia,9.632327983,9.626802857,9.625504409,9.632960357
Comoros,12.61376748,12.63433271,12.66536092,12.69160245
Congo,12.33148289,12.30342559,12.2741678,12.24803579
