Country,2014,2015,2016,2017
Afghanistan,16.75306774,16.75306774,16.71021624,16.67416817
Albania,10.64834484,10.64834484,10.64670602,10.64651811
Algeria,14.04073325,14.04073325,14.05290396,14.06380308
American Samoa,10.69217484,10.69217484,10.69077718,10.68793033
Andean Latin America,11.96058294,11.96058294,11.96637114,11.97356068
Andorra,13.60445701,13.60445701,13.60656022,13.61002276
Angola,12.43216273,12.43216273,12.426484,12.43669585
Antigua and Barbuda,12.98571441,12.98571441,12.99726602,13.00821952
Argentina,13.6936131,13.6936131,13.69433625,13.69843913
Armenia,10.66846575,10.66846575,10.67332526,10.67906688
Australasia,17.48244379,17.48244379,17.4553535,17.42656401
Australia,17.5417157,17.5417157,17.50621383,17.46862358
Austria,13.0569209,13.0569209,13.06199632,13.06481225
Azerbaijan,10.34606519,10.34606519,10.35274919,10.36198933
Bahamas,13.13987283,13.13987283,13.14673746,13.15329281
Bahrain,13.93566286,13.93566286,13.92611012,13.91496228
Bangladesh,11.68357749,11.68357749,11.64727115,11.61124711
Barbados,13.4502185,13.4502185,13.45548259,13.46197286
Belarus,11.99055015,11.99055015,11.98092206,11.97285592
Belgium,14.31635168,14.31635168,14.32078129,14.32959246
Belize,13.38060095,13.38060095,13.38485334,13.38883967
Benin,11.89448323,11.89448323,11.89095728,11.88925815
Bermuda,13.51119534,13.51119534,13.51341424,13.51199818
Bhutan,11.61187518,11.61187518,11.61283902,11.6141057
Bolivia,12.15109511,12.15109511,12.15919313,12.16764512
Bosnia and Herzegovina,10.81469116,10.81469116,10.80790057,10.8099522
Botswana,12.96263546,12.96263546,12.96063443,12.967178
Brazil,13.1376673,13.1376673,13.11279634,13.09292581
Brunei,11.14661798,11.14661798,11.15647852,11.16350955
Bulgaria,11.04946267,11.04946267,11.05073275,11.05533664
Burkina Faso,11.99926023,11.99926023,11.99943482,11.99977992
Burundi,12.51429148,12.51429148,12.51469666,12.52197071
Cambodia,11.09367967,11.09367967,11.04409964,11.00569858
Cameroon,11.86821639,11.86821639,11.87319041,11.86670138
Canada,15.23991322,15.23991322,15.26142538,15.28562543
Cape Verde,12.76697234,12.76697234,12.76174853,12.75501296
Caribbean,13.47537007,13.47537007,13.4751294,13.47520411
Central African Republic,12.84544228,12.84544228,12.84643674,12.85362372
Central Asia,10.81437141,10.81437141,10.80882975,10.8029663
Central Europe,11.02839755,11.02839755,11.02664849,11.02671844
"Central Europe, Eastern Europe, and Central Asia",11.32344874,11.32344874,11.31896693,11.31505007
Central Latin America,10.5439198,10.5439198,10.55389565,10.56520024
Central Sub-Saharan Africa,12.58834133,12.58834133,12.5723606,12.56184524
Chad,12.06724311,12.06724311,12.05418303,12.04486783
Chile,13.95745981,13.95745981,13.96068761,13.967695
China,11.39474934,11.39474934,11.37474847,11.35249761
Colombia,10.40575923,10.40575923,10.41903223,10.43344509
Comoros,11.81482608,11.81482608,11.83292893,11.85924207
Congo,12.29624383,12.29624383,12.30198471,12.31508087
Costa Rica,10.99572287,10.99572287,11.00020369,11.00603676
Cote d'Ivoire,11.59835209,11.59835209,11.62149345,11.64569968
Croatia,11.37125952,11.37125952,11.36731734,11.36712535
Cuba,13.9771386,13.9771386,13.97813514,13.97620114
Cyprus,13.08969953,13.08969953,13.09046045,13.09818835
Czech Republic,11.27719677,11.27719677,11.27498223,11.27347261
Democratic Republic of Congo,12.64870278,12.64870278,12.62671861,12.60708532
Denmark,13.30040468,13.30040468,13.29127827,13.28569218
Djibouti,12.22858991,12.22858991,12.23065554,12.24017226
Dominica,13.18481996,13.18481996,13.19107443,13.19952446
Dominican Republic,13.28666083,13.28666083,13.29205093,13.29665253
East Asia,11.40807681,11.40807681,11.3886198,11.36693767
Eastern Europe,11.73588221,11.73588221,11.73560382,11.73492916
Eastern Sub-Saharan Africa,12.30278909,12.30278909,12.28903043,12.27593371
Ecuador,12.35992247,12.35992247,12.37284264,12.38856483
Egypt,14.25407228,14.25407228,14.27453957,14.29446933
El Salvador,10.78078676,10.78078676,10.78682587,10.78907826
England,14.01874982,14.01874982,14.02636086,14.03463551
Equatorial Guinea,12.4083714,12.4083714,12.42540335,12.43594893
Eritrea,12.38025317,12.38025317,12.37380081,12.37119592
Estonia,11.8087013,11.8087013,11.80482266,11.80539473
Ethiopia,12.60042613,12.60042613,12.56578118,12.53710899
Fiji,10.9573569,10.9573569,10.95333291,10.95245987
Finland,14.63350269,14.63350269,14.60829983,14.58086006
France,14.25999645,14.25999645,14.2530097,14.25309767
Gabon,12.5006247,12.5006247,12.50338776,12.506091
Gambia,11.57262031,11.57262031,11.58616941,11.60140376
Georgia,10.75236178,10.75236178,10.75639893,10.76457749
Germany,13.2153474,13.2153474,13.19906797,13.17717679
Ghana,11.70245383,11.70245383,11.71799447,11.73997671
Greece,14.05690627,14.05690627,14.03455773,14.0109792
Greenland,16.69531109,16.69531109,16.6784536,16.66093702
Grenada,13.38709916,13.38709916,13.38855308,13.39275462
Guam,11.38634182,11.38634182,11.37310929,11.36081544
Guatemala,10.88260856,10.88260856,10.87614755,10.87408272
Guinea,11.62570707,11.62570707,11.62865492,11.62885985
Guinea-Bissau,11.65574864,11.65574864,11.6544021,11.65543595
Guyana,14.1969303,14.1969303,14.18631003,14.17509458
Haiti,13.21063548,13.21063548,13.20732512,13.20468727
High SDI,14.07771203,14.07771203,14.08194781,14.08900942
High-income,14.44867161,14.44867161,14.45048431,14.45598174
High-income Asia Pacific,12.0110742,12.0110742,12.03305726,12.05491117
