Country,Year,males,females
Afghanistan,2017,16.67416817,16.96302255
Albania,2017,10.64651811,11.04317255
Algeria,2017,14.06380308,15.01159706
American Samoa,2017,10.68793033,11.00426893
Andean Latin America,2017,11.97356068,12.78711135
Andorra,2017,13.61002276,15.86184049
Angola,2017,12.43669585,12.32294585
Antigua and Barbuda,2017,13.00821952,13.39239094
Argentina,2017,13.69843913,17.59874775
Armenia,2017,10.67906688,10.57489953
Australasia,2017,17.42656401,19.35432947
Australia,2017,17.46862358,19.21619405
Austria,2017,13.06481225,15.60071603
Azerbaijan,2017,10.36198933,10.41648516
Bahamas,2017,13.15329281,13.49120068
Bahrain,2017,13.91496228,14.81627383
Bangladesh,2017,11.61124711,13.28903163
Barbados,2017,13.46197286,13.6026348
Belarus,2017,11.97285592,12.08195744
Belgium,2017,14.32959246,15.65338106
Belize,2017,13.38883967,13.47286976
Benin,2017,11.88925815,11.6930282
Bermuda,2017,13.51199818,13.90287959
Bhutan,2017,11.6141057,12.24140941
Bolivia,2017,12.16764512,13.31196751
Bosnia and Herzegovina,2017,10.8099522,11.09141289
Botswana,2017,12.967178,12.12793237
Brazil,2017,13.09292581,15.79262155
Brunei,2017,11.16350955,11.74390488
Bulgaria,2017,11.05533664,11.37402183
Burkina Faso,2017,11.99977992,11.69866487
Burundi,2017,12.52197071,13.31775657
Cambodia,2017,11.00569858,11.86483359
Cameroon,2017,11.86670138,11.75166617
Canada,2017,15.28562543,15.67775188
Cape Verde,2017,12.75501296,11.94527944
Caribbean,2017,13.47520411,13.83525884
Central African Republic,2017,12.85362372,12.52543399
Central Asia,2017,10.8029663,10.74032131
Central Europe,2017,11.02671844,11.07793467
"Central Europe, Eastern Europe, and Central Asia",2017,11.31505007,11.35330022
Central Latin America,2017,10.56520024,10.87214112
Central Sub-Saharan Africa,2017,12.56184524,12.3348495
Chad,2017,12.04486783,12.13279508
Chile,2017,13.967695,18.03206451
China,2017,11.35249761,11.3493127
Colombia,2017,10.43344509,9.632960357
Comoros,2017,11.85924207,12.69160245
Congo,2017,12.31508087,12.24803579
Costa Rica,2017,11.00603676,11.0638264
Cote d'Ivoire,2017,11.64569968,11.36639947
Croatia,2017,11.36712535,11.47753656
Cuba,2017,13.97620114,14.17651035
Cyprus,2017,13.09818835,15.31440481
Czech Republic,2017,11.27347261,11.35739402
Democratic Republic of Congo,2017,12.60708532,12.3381061
